allDay,dayOfWeek,startHour,endHour
false,5,1000,2000
false,4,1000,1700
false,3,1000,1700
false,1,1000,1700
false,7,1630,2145
false,6,1630,2145
false,5,1630,2145
false,4,1630,2145
false,3,1630,2145
false,7,1000,1700
false,6,1000,1700
false,5,1000,1700
false,4,1000,1700
false,3,1000,1700
false,1,1000,1700
true,7,0,0
true,6,0,0
true,5,0,0
true,4,0,0
true,3,0,0
true,2,0,0
true,1,0,0
false,7,1100,1830
false,6,1100,1830
false,5,1100,1830
false,4,1100,1800
false,3,1100,1800
false,2,1100,1800
false,1,1200,1800
false,7,800,1700
false,6,700,1700
false,5,700,1700
false,4,700,1700
false,3,700,1700
false,1,800,1700
false,7,900,2000
false,6,900,2000
false,5,900,1900
false,4,900,1900
false,3,900,1900
false,2,900,1900
false,1,900,1900
false,7,1200,1800
false,6,1200,1800
false,5,1200,1800
false,4,1200,1800
false,3,1200,1800
false,1,1200,1800
false,7,1030,2230
false,6,1030,2230
false,5,1030,2230
false,4,1030,2230
false,3,1030,2230
false,2,1030,2230
false,1,1030,2230
false,7,1200,1900
false,6,1200,1900
false,5,1130,1800
false,4,1130,1800
false,3,1130,1800
false,2,1130,1800
false,1,1200,1800
false,7,800,1630
false,6,700,1730
false,5,700,1730
false,4,700,1730
false,3,700,1730
false,2,700,1730
false,7,1100,200
false,6,1100,200
false,5,1100,100
false,4,1100,100
false,3,1100,100
false,2,1100,100
false,1,1100,100
false,7,1700,100
false,6,1700,100
false,5,1700,0
false,4,1700,0
false,3,1700,0
false,2,1700,0
false,1,1700,0
false,7,1700,2230
false,6,1130,2200
false,5,1130,2200
false,4,1130,2200
false,3,1130,2200
false,2,1130,2200
false,1,1700,2100
true,7,0,0
true,6,0,0
true,5,0,0
true,4,0,0
true,3,0,0
true,2,0,0
true,1,0,0
false,7,2000,200
false,6,2000,200
false,5,2000,200
false,4,2000,200
false,1,1800,0
false,7,800,2200
false,6,800,2200
false,5,800,2200
false,4,800,2200
false,3,800,2200
false,2,800,2200
false,1,800,2200
false,7,900,2300
false,6,900,2300
false,5,930,2200
false,4,930,2200
false,3,930,2200
false,2,930,2200
false,1,930,2200
true,7,0,0
true,6,0,0
true,5,0,0
true,4,0,0
true,3,0,0
true,2,0,0
true,1,0,0
false,7,900,1700
false,6,800,1700
false,5,800,1700
false,4,800,1700
false,3,800,1700
false,2,800,1700
false,1,900,1700
true,7,0,0
true,6,0,0
true,5,0,0
true,4,0,0
true,3,0,0
true,2,0,0
true,1,0,0
false,7,600,0
false,6,600,0
false,5,600,0
false,4,600,0
false,3,600,0
false,2,600,2130
false,1,600,0
false,7,600,2330
false,6,1030,2330
false,5,1030,2330
false,4,1030,2330
false,3,1030,2330
false,2,1030,2330
false,1,600,2330
false,7,1000,2200
false,6,1000,2200
false,5,1000,2200
false,4,1000,2200
false,3,1000,2200
false,2,1000,2200
false,1,1000,2030
false,7,1400,100
false,6,1600,100
false,5,1600,0
false,4,1600,0
false,3,1600,0
false,1,1400,0
false,7,1000,1700
false,6,1000,1900
